name,chrom,chrom_class,mean_jc_div
gu_0_chr1_40564559_40567781,1,macro_derived,0.6079687701943105
gu_1_chr1A_23886240_23889460,1A,macro_derived,0.6093044213692814
gu_3_chr6_396658_399970,6,macro_derived,0.5186925923123934
gu_4_chr6_531268_534582,6,macro_derived,0.5199201848388906
gu_5_chr6_540330_543643,6,macro_derived,0.5145186991266713
gu_6_chr6_549251_552565,6,macro_derived,0.5186925923123935
gu_7_chr6_558289_561603,6,macro_derived,0.5145186991266713
gu_8_chr6_567247_570559,6,macro_derived,0.5186925923123935
gu_9_chr6_576198_579510,6,macro_derived,0.5220498753044948
gu_10_chr7_731175_734562,7,chr7_ancestral,0.581450830308713
gu_11_chr7_738853_742240,7,chr7_ancestral,0.5833514897752411
gu_12_chr7_1801915_1805300,7,chr7_ancestral,0.48947860121684905
gu_13_chr7_2238514_2241740,7,chr7_ancestral,0.598371395471499
gu_14_chr7_3252147_3256307,7,chr7_ancestral,0.5194449714280532
gu_16_chr7_27746860_27751603,7,chr7_ancestral,0.6390830902416305
gu_17_chr7_28831543_28836290,7,chr7_ancestral,0.5242298723107021
gu_18_chr7_29660300_29663599,7,chr7_ancestral,0.5609142887935566
gu_19_chr8_27545488_27548936,8,macro_derived,0.6123957330385505
gu_20_chr16_561629_564583,16,micro_derived,0.4171970080615492
gu_21_chr16_620170_623060,16,micro_derived,0.3233010449075
gu_22_chr16_672352_675234,16,micro_derived,0.33560846131686195
gu_23_chr16_699398_702353,16,micro_derived,0.37132645886615867
gu_24_chr16_792552_795506,16,micro_derived,0.36553513392857395
gu_25_chr16_819838_822729,16,micro_derived,0.4257314924018888
gu_26_chr16_951540_954496,16,micro_derived,0.31278941815034694
gu_27_chr16_964731_967686,16,micro_derived,0.4246523472850782
gu_28_chr16_1012605_1015496,16,micro_derived,0.41875853448676364
gu_29_chr16_1061814_1064760,16,micro_derived,0.3558813484037233
gu_30_chr16_1110691_1113582,16,micro_derived,0.333839447658078
gu_31_chr16_1164729_1167683,16,micro_derived,0.3534415826239972
gu_32_chr16_1198313_1201269,16,micro_derived,0.3687231375092009
gu_33_chr16_1289411_1292908,16,micro_derived,0.36828048240186545
gu_34_chr16_1310272_1313163,16,micro_derived,0.4249663860646334
gu_35_chr16_1374654_1377546,16,micro_derived,0.3331456520237231
gu_36_chr16_1408215_1411107,16,micro_derived,0.3357462605267119
gu_37_chr16_1435216_1438107,16,micro_derived,0.33776690705307366
gu_38_chr16_1478472_1481363,16,micro_derived,0.32258793590862045
gu_39_chr16_1532441_1535396,16,micro_derived,0.4495749889101434
gu_40_chr16_1611497_1614997,16,micro_derived,0.3599682337089423
gu_41_chr16_1634416_1637371,16,micro_derived,0.4499846242329617
gu_42_chr16_1700023_1702914,16,micro_derived,0.3405738046621278
gu_43_chr16_1753490_1756380,16,micro_derived,0.3274365924490877
gu_44_chr16_1779141_1782038,16,micro_derived,0.3378206754054824
gu_45_chr16_1805339_1808293,16,micro_derived,0.3728018661404742
gu_46_chr16_1857162_1860116,16,micro_derived,0.37191276268883133
gu_47_chr16_1914205_1917158,16,micro_derived,0.35331834067657475
gu_48_chr16_1937007_1939889,16,micro_derived,0.42274666157230306
gu_49_chr16_1985267_1988159,16,micro_derived,0.42067926911372794
gu_50_chr16_2007994_2010884,16,micro_derived,0.3372509490133569
gu_51_chr16_2060222_2063114,16,micro_derived,0.3395841589543208
gu_52_chr16_2086065_2089020,16,micro_derived,0.37142789012146743
gu_53_chr16_2125730_2128685,16,micro_derived,0.37067250531323387
gu_54_chr16_2147841_2150731,16,micro_derived,0.3203669325180329
gu_55_chr16_2198378_2201866,16,micro_derived,0.3743471807028039
gu_56_chr16_2240550_2244018,16,micro_derived,0.4016720449403511
gu_57_chr16_2271535_2274424,16,micro_derived,0.4307845555214859
gu_58_chr16_2312053_2314945,16,micro_derived,0.33730957337159817
gu_59_chr16_2326924_2329816,16,micro_derived,0.4234008247714335
gu_60_chr16_2358646_2361538,16,micro_derived,0.3411128455874745
gu_61_chr16_2387151_2390041,16,micro_derived,0.34034178615105054
gu_62_chr16_2408616_2411507,16,micro_derived,0.324182925871127
gu_63_chr16_2423161_2426041,16,micro_derived,0.3393470693910343
gu_64_chr16_2446093_2466060,16,micro_derived,0.4962476659642693
gu_65_chr16_2495946_2515081,16,micro_derived,0.37683955088158455
gu_66_chr16_2556796_2559687,16,micro_derived,0.3385490955554487
gu_67_chr16_2579788_2582680,16,micro_derived,0.4274486854454396
gu_68_chr16_2628967_2631922,16,micro_derived,0.376058430481356
gu_69_chr16_2651613_2654566,16,micro_derived,0.4443117173555501
